,wavelength_commercial,qe_commercial,wavelength_184,qe_184,wavelength_211,qe_211,wavelength_212,qe_212
0,400.0,0.6,846.0,0.908,864.0,0.9306556466288005,880.0,0.92
1,401.4014014014014,0.6028747019747019,847.8558558558559,0.9097363007513344,865.8378378378378,0.9348730767108645,881.8218218218218,0.9195836908869089
2,402.80280280280283,0.6057494039494039,849.7117117117117,0.9114726015026686,867.6756756756757,0.9390905067929285,883.6436436436437,0.9191673817738177
3,404.2042042042042,0.6086241059241058,851.5675675675676,0.913208902254003,869.5135135135134,0.9433079368749923,885.4654654654654,0.9187510726607266
4,405.6056056056056,0.6114988078988077,853.4234234234234,0.9149452030053372,871.3513513513514,0.9475253669570562,887.2872872872873,0.9183347635476355
5,407.007007007007,0.6143735098735097,855.2792792792793,0.9166815037566716,873.1891891891892,0.9517427970391202,889.1091091091091,0.9179184544345443
6,408.40840840840843,0.6172482118482117,857.1351351351351,0.9184178045080058,875.0270270270271,0.9559602271211842,890.9309309309309,0.9175021453214532
7,409.8098098098098,0.6201229138229135,858.990990990991,0.9201541052593402,876.8648648648648,0.960177657203248,892.7527527527528,0.9170858362083621
8,411.2112112112112,0.6229976157976155,860.8468468468469,0.9218904060106745,878.7027027027027,0.964395087285312,894.5745745745745,0.916669527095271
9,412.6126126126126,0.6258723177723174,862.7027027027027,0.9236267067620089,880.5405405405405,0.968612517367376,896.3963963963964,0.9162532179821798
10,414.01401401401404,0.6287470197470194,864.5585585585586,0.9253630075133432,882.3783783783784,0.97282994744944,898.2182182182182,0.9158369088690888
11,415.4154154154154,0.6324665029971246,866.4144144144144,0.9250357403589733,884.2162162162161,0.973349761361796,900.04004004004,0.9164976938470821
12,416.8168168168168,0.6362704643747701,868.2702702702703,0.9245021164140331,886.0540540540541,0.9734998136571813,901.8618618618619,0.917266188234184
13,418.2182182182182,0.6400744257524157,870.1261261261261,0.923968492469093,887.8918918918919,0.9736498659525666,903.6836836836836,0.9180346826212858
14,419.61961961961964,0.6438783871300613,871.9819819819819,0.9234348685241528,889.7297297297298,0.973799918247952,905.5055055055054,0.9188031770083878
15,421.021021021021,0.6476823485077068,873.8378378378378,0.9229012445792125,891.5675675675676,0.9739499705433372,907.3273273273273,0.9195716713954897
16,422.4224224224224,0.6514863098853525,875.6936936936936,0.9223676206342724,893.4054054054054,0.9741000228387225,909.1491491491491,0.9203401657825915
17,423.82382382382383,0.6552902712629981,877.5495495495495,0.9218339966893322,895.2432432432432,0.9742500751341079,910.970970970971,0.9211086601696934
18,425.22522522522524,0.6590942326406436,879.4054054054053,0.921300372744392,897.081081081081,0.9744001274294932,912.7927927927929,0.9218771545567952
19,426.6266266266266,0.6628981940182891,881.2612612612612,0.9207667487994518,898.918918918919,0.9745501797248785,914.6146146146145,0.9226456489438971
20,428.028028028028,0.6667021553959347,883.117117117117,0.9202331248545116,900.7567567567567,0.9747002320202638,916.4364364364365,0.9234141433309989
21,429.42942942942943,0.6685775319412302,884.9729729729729,0.9198685368675026,902.5945945945946,0.975034710201595,918.2582582582583,0.9240322166067518
22,430.83083083083085,0.6700243340793368,886.8288288288288,0.9195415124267005,904.4324324324324,0.9754101719131365,920.0800800800802,0.9246168629688716
23,432.2322322322322,0.6714711362174433,888.6846846846846,0.9192144879858984,906.2702702702703,0.9757856336246779,921.901901901902,0.9252015093309913
24,433.6336336336336,0.6729179383555497,890.5405405405405,0.9188874635450963,908.1081081081081,0.9761610953362193,923.7237237237237,0.9257861556931111
25,435.03503503503504,0.6743647404936562,892.3963963963963,0.9185604391042943,909.9459459459459,0.9765365570477607,925.5455455455456,0.9263708020552308
26,436.43643643643645,0.6758115426317629,894.2522522522522,0.9182334146634922,911.7837837837837,0.9769120187593021,927.3673673673674,0.9269554484173506
27,437.8378378378378,0.6772583447698693,896.108108108108,0.91790639022269,913.6216216216217,0.9772874804708436,929.1891891891893,0.9275400947794703
28,439.2392392392392,0.6787051469079758,897.9639639639639,0.917579365781888,915.4594594594595,0.977662942182385,931.0110110110111,0.92812474114159
29,440.64064064064064,0.6801519490460823,899.8198198198198,0.9172523413410859,917.2972972972973,0.9780384038939264,932.8328328328328,0.9287093875037098
30,442.04204204204206,0.681598751184189,901.6756756756756,0.9169253169002838,919.1351351351351,0.9784138656054678,934.6546546546547,0.9292940338658295
31,443.44344344344347,0.6825625216527493,903.5315315315315,0.9166063376187082,920.972972972973,0.9787762543471366,936.4764764764765,0.9298794653248031
32,444.84484484484483,0.6833451552452299,905.3873873873873,0.9162903752718425,922.8108108108108,0.979133740725103,938.2982982982984,0.9304651911950971
33,446.24624624624624,0.6841277888377104,907.2432432432432,0.9159744129249768,924.6486486486486,0.9794912271030695,940.1201201201202,0.9310509170653909
34,447.64764764764766,0.684910422430191,909.099099099099,0.9156584505781111,926.4864864864865,0.9798487134810359,941.9419419419419,0.9316366429356848
35,449.049049049049,0.6856930560226715,910.9549549549549,0.9153424882312454,928.3243243243244,0.9802061998590024,943.7637637637638,0.9322223688059788
36,450.45045045045043,0.686475689615152,912.8108108108108,0.9150265258843797,930.1621621621622,0.9805636862369688,945.5855855855856,0.9328080946762726
37,451.85185185185185,0.6872583232076327,914.6666666666666,0.914710563537514,931.9999999999999,0.9809211726149353,947.4074074074075,0.9333938205465665
38,453.25325325325326,0.6880409568001133,916.5225225225225,0.9143946011906483,933.8378378378378,0.9812786589929017,949.2292292292293,0.9339795464168604
39,454.6546546546547,0.6888235903925939,918.3783783783783,0.9140786388437826,935.6756756756756,0.9816361453708682,951.051051051051,0.9345652722871542
