wavelength,quantum_efficiency
0.881379196827571, 0.9186699465175948
0.892009141923058, 0.9170039771553007
0.8970114690268165, 0.9146299708140315
0.9041397851496724, 0.9207024291395937
0.9121435085156862, 0.9221018434039208
0.9191467664609481, 0.924300922962149
0.9270254316493678, 0.9268331963928361
0.9346539804825996, 0.9292988310490315
0.9414071220726737, 0.931397952445522
0.9496609617938754, 0.9342967391359139
0.9570393942719192, 0.9363292217579128
0.964542884927557, 0.9384949819288952
0.9720463755831948, 0.9406607420998776
0.9794248080612387, 0.9426932247218764
0.9864280660065007, 0.9448923042801047
0.9945568475501083, 0.9469914256765953
0.9995591746538669, 0.9474912164852836
1.0139408650771728, 0.9489905889113484
1.0214443557328106, 0.9509897521461013
1.0289478463884483, 0.9529889153808543
1.036951569754462, 0.9548881204538695
1.0457056421860396, 0.9568872836886225
1.0545847727952111, 0.9589864050851131
1.0633388452267885, 0.9609855683198663
1.072092917658366, 0.9629847315546192
1.0802216992019735, 0.964733999385028
1.0883504807455813, 0.9659834764067486
1.096229145934001, 0.9672829325093381
1.1042328693000147, 0.9686823467736652
1.1121115344884345, 0.9699818028762546
1.1202403160320422, 0.9711479814298605
1.1271185157997101, 0.9731471446646135
1.1349971809881296, 0.9756794180953006
1.1425006716437676, 0.9777785394917913
1.1471278242147442, 0.9784782466239548
1.1565071875342916, 0.9794778282413312
1.1677624235177482, 0.9804774098587077
1.1783923686132352, 0.9814769914760841
1.1896476045966922, 0.9824765730934607
1.2009028405801487, 0.9834761547108372
1.2121580765636055, 0.9844757363282137
1.2234133125470623, 0.9854753179455902
1.2359191303064585, 0.9864748995629666
1.2402961665222474, 0.9864748995629666
1.2509261116177344, 0.9874744811803431
1.255303147833523, 0.9874744811803431
1.26593309292901, 0.9884740627977195
1.2703101291447987, 0.9884740627977195
1.2809400742402857, 0.9894736444150961
1.2853171104560746, 0.9894736444150961
1.2959470555515613, 0.9904732260324726
1.30032409176735, 0.9904732260324726
1.310954036862837, 0.9914728076498491
1.3159563639665954, 0.9914728076498491
1.3297127635019317, 0.9924723892672256
1.3359656723816298, 0.9924723892672256
1.3509726536929054, 0.993471970884602
1.3572255625726037, 0.993471970884602
1.3722325438838792, 0.9944715525019785
1.3784854527635775, 0.9944715525019785
1.3934924340748531, 0.9954711341193551
1.4003706338425213, 0.9954711341193551
1.4197546513695856, 0.9964707157367315
1.4272581420252235, 0.9964707157367315
1.4472674504402576, 0.9974702973541081
1.4547709410958956, 0.9974702973541081
1.4741549586229599, 0.9984698789714845
1.4922883943740846, 0.999469460588861
1.4997918850297225, 0.999469460588861
1.5072953756853602, 0.999469460588861
1.5147988663409981, 0.999469460588861
1.5223023569966359, 0.999469460588861
1.5298058476522738, 0.999469460588861
1.5373093383079117, 0.999469460588861
1.5448128289635494, 0.999469460588861
1.5523163196191874, 0.999469460588861
1.559819810274825, 0.999469460588861
1.567323300930463, 0.999469460588861
1.5748267915861007, 0.999469460588861
1.581079700465799, 0.999469460588861
1.598587845328954, 0.9984698789714845
1.605466045096622, 0.9984698789714845
1.6235994808477467, 0.9974702973541081
1.6304776806154146, 0.9974702973541081
1.6486111163665396, 0.9964707157367315
1.656739897910147, 0.9958043279918138
1.6617422250139058, 0.9954711341193551
1.6704962974454831, 0.9944715525019785
1.6805009516530003, 0.993471970884602
1.6905056058605175, 0.9924723892672256
1.7003018297720445, 0.991222912245505
1.6992596782920948, 1.0049671594844316
1.6992596782920948, 0.9989696697801728
1.7105149142755516, 0.9904732260324726
1.7205195684830688, 0.9894736444150961
1.7286483500266763, 0.9884740627977195
1.7361518406823142, 0.9874744811803431
1.7436553313379521, 0.9864748995629666
1.7511588219935899, 0.9854753179455902
1.7595377198923856, 0.9842758200047383
1.7667910941928353, 0.9832262593064931
1.7742945848484732, 0.9822266776891166
1.781798075504111, 0.9812270960717401
1.789301566159749, 0.9802275144543635
1.7968050568153866, 0.9792279328369871
1.8049338383589943, 0.9773953665384636
1.8124373290146323, 0.9749797109631371
1.8193155287823002, 0.9726806732431711
1.827069135793126, 0.971281258978844
1.8350728591591394, 0.9698818447145169
1.8435768152355294, 0.9680825978032392
1.851330422246355, 0.9668830998623874
1.8598343783227447, 0.9650838529511099
1.8671502817119914, 0.9637344177676515
1.87609194140996, 0.9620851080989803
1.8833453157104099, 0.9604857775111779
1.8913490390764234, 0.9588864469233755
1.8998529951528131, 0.9570872000120979
1.9071063694532628, 0.9554878694242954
1.9151100928192764, 0.953888538836493
1.9236140488956661, 0.9520892919252155
1.9312425977288978, 0.950489961337413
1.938120797496566, 0.9488906307496107
1.9462495790401735, 0.9469914256765953
1.955003651471751, 0.9449922624418423
1.9636326657257346, 0.943093057368827
1.9723867381573121, 0.9410938941340741
1.9800152869905439, 0.9393279666100423
1.9881440685341514, 0.9377452957158627
1.9961477919001653, 0.9360959860471916
2.001900468069487, 0.9354962370767657
2.0187833220446727, 0.9354962370767657
2.0262868127003104, 0.9354962370767657
2.0331650124679785, 0.9348964881063397
2.0406685031236163, 0.9330972411950622
2.048797284667224, 0.9309981197985715
2.0563007753228617, 0.9289989565638186
2.0638042659785, 0.9269997933290656
2.0725583384100768, 0.9245008392856243
2.080061829065715, 0.9223350791146419
2.087565319721353, 0.9203359158798889
2.0956941012649604, 0.9180035587726771
2.103822882808568, 0.9156712016654653
2.111326373464206, 0.9136720384307124
2.118829864119844, 0.9116728751959594
2.1259581802426997, 0.9097070313484523
2.1338368454311194, 0.9073413548539946
2.142215743329915, 0.9047091232615698
2.150094408518335, 0.9023434467671121
